producer,feature_key,label,current_kind,current_group,current_subgroup,current_id_value,proposed_role,proposed_group,proposed_subgroup,source_kind,method_feature_id,method_reference_informativeness,automatic_or_expert,notes
profile.py,semantic.registered.politics,Политическая направленность текста,кандидат_признак,смысловые,тематические,низкая,METHOD_FEATURE,смысловые,тематические,METHOD,nn.smysl.political,низкая,automatic,Cosine применяется только к обнаружению/надёжности детектора.
profile.py,semantic.registered.military,Военная направленность текста,кандидат_признак,смысловые,тематические,низкая,METHOD_FEATURE,смысловые,тематические,METHOD,nn.smysl.military,низкая,automatic,Cosine применяется только к обнаружению/надёжности детектора.
profile.py,semantic.registered.everyday,Бытовая тематика текста,кандидат_признак,смысловые,тематические,низкая,METHOD_FEATURE,смысловые,тематические,METHOD,nn.smysl.everyday,низкая,automatic,Cosine применяется только к обнаружению/надёжности детектора.
profile.py,semantic.arbitrary_domain,Доминирующая тема: <домен>,кандидат_признак,смысловые,тематические,низкая,AUX_METRIC,смысловые,тематические,ENGINEERING,,,automatic,Незарегистрированный домен не является методическим признаком.
profile.py,paragraph_count,Число абзацев,счётчик,текстологические,архитектоника,,AUX_METRIC,текстологические,архитектоника,ENGINEERING,,,automatic,
profile.py,mean_paragraph_length,Средняя длина абзаца (слов),счётчик,текстологические,архитектоника,,AUX_METRIC,текстологические,архитектоника,ENGINEERING,,,automatic,
profile.py,word_count,Всего слов,счётчик,текстологические,архитектоника,,AUX_METRIC,текстологические,архитектоника,ENGINEERING,,,automatic,
profile.py,sentence_count,Всего предложений,счётчик,текстологические,архитектоника,,AUX_METRIC,текстологические,архитектоника,ENGINEERING,,,automatic,
profile.py,mean_sentence_length,Средняя длина предложения (слов),счётчик,текстологические,архитектоника,,AUX_METRIC,текстологические,архитектоника,ENGINEERING,,,automatic,
profile.py,sentence_length_variance,Дисперсия длины предложений,счётчик,текстологические,архитектоника,,AUX_METRIC,текстологические,архитектоника,ENGINEERING,,,automatic,
profile.py,ttr,Лексическое разнообразие (TTR),счётчик,языковые,лексические,,AUX_METRIC,языковые,лексические,ENGINEERING,,,automatic,
profile.py,lemma_diversity,Лемматическое разнообразие,счётчик,языковые,лексические,,AUX_METRIC,языковые,лексические,ENGINEERING,,,automatic,
profile.py,hapax_share,Доля hapax-лемм,счётчик,языковые,лексические,,AUX_METRIC,языковые,лексические,ENGINEERING,,,automatic,
profile.py,mean_word_length,Средняя длина слова (букв),счётчик,языковые,лексические,,AUX_METRIC,языковые,лексические,ENGINEERING,,,automatic,
profile.py,register_layer_count,Регистровый слой: <слой>,счётчик,языковые,лексические,,AUX_METRIC,языковые,лексические,ENGINEERING,,,automatic,
